province,office,address,website
인천,인천논현경찰서,인천 남동구 논현고잔로 239,https://www.icpolice.go.kr/police.php?dcode=nh
인천,공항경찰대,인천 중구 공항로 272 인천국제공항경찰대 사서함 7호,https://www.icpolice.go.kr/police.php?dcode=gh
광주,광주지방경찰청,광주 광산구 용아로 112,http://www.gjpolice.go.kr
광주,광주광산경찰서,광주 광산구 어등대로 551,http://www.gjpolice.go.kr/gs
광주,광주남부경찰서,광주 남구 용대로74번안길 9-5,http://www.gjpolice.go.kr/nb
광주,광주동부경찰서,광주 동구 예술길 33,http://www.gjpolice.go.kr/db
광주,광주북부경찰서,광주 북구 서하로 172,http://www.gjpolice.go.kr/bb
광주,광주서부경찰서,광주 서구 상무공원로 71,http://www.gjpolice.go.kr/sb
대전,대전지방경찰청,대전시 서구 둔산중로 77,http://www.djpolice.go.kr
대전,대전동부경찰서,대전시 대덕구 계족로 670,http://www.djpolice.go.kr/djdb/
대전,대전둔산경찰서,대전시 서구 한밭대로 733,http://www.djpolice.go.kr/djds/
대전,대전대덕경찰서,대전시 대덕구 대덕대로1417번길 11,http://www.djpolice.go.kr/djdd/
대전,대전서부경찰서,대전시 서구 복수서로 47,http://www.djpolice.go.kr/djsb/
대전,대전중부경찰서,대전시 중구 중앙로 112,http://www.djpolice.go.kr/djjb/
대전,대전유성경찰서,대전광역시 유성구 북유성대로 112,http://www.djpolice.go.kr/djys
울산,울산지방경찰청,울산시 중구 성안로 112,http://www.uspolice.go.kr/
울산,울산남부경찰서,울산시 남구 삼산로35번길 25,https://www.uspolice.go.kr/nambu/
울산,울산동부경찰서,울산시 동구 진성4길 11,https://www.uspolice.go.kr/dongbu/
울산,울산울주경찰서,울산시 울주군 범서읍 점촌6길 6,https://www.uspolice.go.kr/ulju/
울산,울산중부경찰서,울산시 중구 번영로 620,https://www.uspolice.go.kr/jungbu/
경기북부,경기북부지방경찰청,경기도 의정부시 금오로23번길 22-49,http://www.ggbpolice.go.kr
경기북부,가평경찰서,경기도 가평군 가평읍 가화로61,http://www.ggpolice.go.kr/gp
경기북부,고양경찰서,경기도 고양시 덕양구 화중로12,http://www.ggpolice.go.kr/gy
경기북부,구리경찰서,경기도 구리시 아차산로 359,http://www.ggpolice.go.kr/guri
경기북부,남양주경찰서,경기도 남양주시 경춘로 532,http://www.ggpolice.go.kr/nyj
경기북부,동두천경찰서,경기도 동두천시 상패로 89,http://www.ggpolice.go.kr/ddc
경기북부,양주경찰서,경기도 양주시 평화로 1699,http://www.ggpolice.go.kr/yangju
경기북부,연천경찰서,경기도 연천군 연천읍 연천로 239,http://www.ggpolice.go.kr/yc
경기북부,의정부경찰서,경기도 의정부시 호국로 1265,http://www.ggpolice.go.kr/ujb
경기북부,일산동부경찰서,경기도 고양시 일산동구 중앙로 1338,http://www.ggpolice.go.kr/is
경기북부,일산서부경찰서,경기 고양시 일산서구 중앙로 1640,http://www.ggbpolice.go.kr/issb
경기북부,파주경찰서,경기도 파주시 쇠재로 140,http://www.ggpolice.go.kr/pj
경기북부,포천경찰서,경기도 포천시 군내면 호국로 1570,http://www.ggpolice.go.kr/pc
경기남부,경기남부지방경찰청,경기도 수원시 장안구 창룡대로 223,http://www.ggpolice.go.kr
경기남부,과천경찰서,경기도 과천시 통영로 20,http://www.ggpolice.go.kr/gc
경기남부,광명경찰서,경기도 광명시 디지털로 5,http://www.ggpolice.go.kr/gm/
경기남부,광주경찰서,경기도 광주시 포돌이로 135,http://www.ggpolice.go.kr/gj
경기남부,군포경찰서,경기도 군포시 산본로324번길 16,http://www.ggpolice.go.kr/gunpo
경기남부,김포경찰서,경기도 김포시 태장로795번길 65,http://www.ggpolice.go.kr/gimpo
경기남부,부천소사경찰서,경기도 부천시 소사구 경인로160번길 70,http://www.ggpolice.go.kr/bcss
경기남부,부천원미경찰서,경기도 부천시 원미구 조마루로311번길 84,http://www.ggpolice.go.kr/bcym
경기남부,분당경찰서,경기도 성남시 분당구 정자일로 165,http://www.ggpolice.go.kr/bd
경기남부,성남수정경찰서,경기도 성남시 수정구 성남대로 1259,http://www.ggpolice.go.kr/snsj
경기남부,성남중원경찰서,경기도 성남시 중원구 금빛로2번길 10,http://www.ggpolice.go.kr/snjw
경기남부,수원남부경찰서,경기도 수원시 영통구 매봉로 52,http://www.ggpolice.go.kr/swnb
경기남부,수원중부경찰서,경기도 수원시 장안구 정자천로 199,http://www.ggpolice.go.kr/swjb
경기남부,수원서부경찰서,경기도 수원시 권선구 서부로 1673,http://www.ggpolice.go.kr/swsb
